uniprot_acc	content_fraction	content_count	length	start	end
P12268	0.062	32	514	1	14
Q8KTH8	0.007	10	1405	1	10
Q03112	0.008	10	1230	1	10
Q9HAZ2	0.008	10	1276	1	10
A8B1V5	0.023	10	427	1	10
Q60358	0.03	12	396	1	12
Q46WL3	0.03	11	366	1	11
Q4Q7R3	0.032	10	308	1	10
P70452	0.034	10	298	1	10
G3MB97	0.163	46	282	1	27
P09493	0.62	176	284	1	29
A0A4Z9	0.047	12	255	1	12
P23639	0.052	13	250	1	13
Q65095	0.048	10	209	1	10
Q4D4S1	0.053	10	190	1	10
P14348	0.335	59	176	1	21
Q6CNL2	0.317	26	82	1	26
Q8U474	0.159	10	63	1	10
Q85FS8	0.579	22	38	1	15
Q9HB71	0.232	53	228	1	44
P27797	0.089	37	417	1	10
P00503	0.041	17	413	1	17
Q0IG34	0.037	15	400	1	15
Q8TZS9	0.028	11	389	1	11
Q18BE1	0.054	14	261	1	14
P00767	0.045	11	245	1	11
G1SZ47	0.154	22	143	1	22
P87123	0.098	12	123	1	12
G1TZ76	0.31	26	84	1	26
P68440	0.056	31	551	1	11
P28004	0.512	194	379	1	11
A4GGC6	0.727	32	44	1	15
P17888	0.02	15	732	1	15
A6XNE6	0.049	18	368	1	18
O15570	0.068	23	337	1	23
Q13868	0.096	28	293	1	28
P35256	0.047	12	253	1	12
A2ENQ8	0.071	13	182	1	13
Q8GNT2	0.092	14	153	1	14
E9BFB6	0.084	12	143	1	12
P10295	0.429	12	28	1	12
D0FXW0	0.878	36	41	1	19
P59777	0.756	31	41	1	19
Q8N3C0	0.017	38	2202	1	12
Q9UJQ4	0.034	36	1053	1	12
D3YNB6	0.066	50	757	1	23
Q8IX07	0.013	13	1006	1	13
H6QM91	0.038	29	756	1	19
Q9IMP4	0.084	63	754	1	24
P36507	0.037	15	400	1	15
Q8I374	0.057	16	279	1	16
Q4WPJ0	0.085	14	165	1	14
Q8TZD9	0.082	13	158	1	13
A0A0J9X217	0.087	13	150	1	13
Q81CG1	0.171	24	140	1	24
P12520	0.135	13	96	1	13
E0WN77	0.399	59	148	1	13
Q9BXV9	0.39	39	100	1	13
Q65NU7	0.774	41	53	1	16
P02413	0.479	69	144	1	69
O43612	0.168	22	131	1	13
Q8VI36	0.056	33	591	1	13
O36430	0.019	14	752	1	14
P18315	0.142	15	106	1	15
P17230	0.659	29	44	1	16
A0A140UH97	1.0	14	14	1	14
P12962	0.255	41	161	1	14
D0VWR4	1.0	40	40	1	40
A0A4V8GZZ3	0.732	30	41	1	14
P0A429	1.0	41	41	1	41
P04692	0.194	55	284	1	14
K9LH03	0.029	22	753	1	22
Q9WLS3	0.02	15	758	1	15
P20995	0.108	46	426	1	46
P42068	0.053	17	319	1	17
Q875M3	0.103	15	145	1	15
P00870	0.138	17	123	1	17
Q9DS05	0.211	15	71	1	15
P36206	0.567	51	90	1	40
E1C9L0	0.619	26	42	1	15
O60711	0.088	34	386	1	15
Q9UKT4	0.063	28	447	1	15
P03431	0.052	39	757	1	15
P06974	0.048	16	334	1	16
P0C206	0.085	16	189	1	16
P50984	1.0	16	16	1	16
A0A384E107	1.0	40	40	1	40
Q7DGD4	1.0	40	40	1	40
P62596	0.762	32	42	1	16
P0A427	1.0	38	38	1	38
Q55330	1.0	40	40	1	40
O95639	0.446	120	269	1	44
P39797	0.143	40	279	1	16
Q98830	0.017	17	988	1	17
Q9NYG5	0.726	61	84	1	21
P64496	0.483	29	60	1	17
D1CIZ1	0.298	17	57	1	17
A7XXA7	0.333	17	51	1	17
P61238	0.784	40	51	1	19
A0A0X1KGZ5	0.818	36	44	1	17
Q75677	0.336	36	107	1	17
P26789	1.0	53	53	1	53
P58772	0.873	248	284	1	63
Q6N5V5	0.367	36	98	1	18
P00634	0.556	262	471	1	25
A0A0N8J9U9	0.043	19	445	1	19
P18671	0.9	18	20	1	18
Q8IYB3	0.021	19	904	1	19
P78352	0.026	19	724	1	19
A0A3I4YJR7	0.031	20	643	1	20
Q9BWG6	0.083	19	230	1	19
A0R049	0.103	21	203	1	21
A0A3F2YLX2	1.0	19	19	1	19
Q6YXM2	0.78	32	41	1	19
P49023	0.118	70	591	1	19
P70673	0.085	33	390	1	19
Q8I6J8	0.147	33	225	1	20
P19267	0.783	54	69	1	22
Q7K2L1	0.036	26	721	1	20
Q5LXE3	0.07	20	285	1	20
D1CIY7	0.308	20	65	1	20
P35089	0.868	46	53	1	46
A0A087WNH4	0.96	24	25	1	24
A0A0J9X295	1.0	20	20	1	20
Q8U443	0.88	44	50	1	20
D5SUT9	0.093	29	311	1	23
Q9UQ35	0.011	30	2752	1	30
Q63881	0.033	21	630	1	21
P0A0K6	0.25	26	104	1	21
Q72GR9	0.42	42	100	1	30
A0A218P0A5	0.412	21	51	1	21
P26790	0.829	34	41	1	25
P0CX86	1.0	25	25	1	25
P84337	1.0	24	24	1	24
Q6Q547	0.828	48	58	1	48
O53778	0.986	70	71	1	70
P0C079	1.0	79	79	1	79
Q01590	0.091	31	340	1	21
H6WEA4	0.035	22	626	1	22
P0ABB2	0.043	22	513	1	22
P61073	0.108	38	352	1	38
Q46EH4	0.089	23	258	1	23
Q8DVY1	0.139	23	166	1	23
P04608	0.698	60	86	1	60
Q03433	0.314	88	280	1	22
Q910D6	0.046	35	757	1	22
Q3UYV9	0.029	23	790	1	23
O13916	0.287	23	80	1	23
P35094	0.548	23	42	1	23
P20278	1.0	37	37	1	37
P30709	0.821	23	28	1	23
Q05778	0.087	24	276	1	24
P0ADV9	0.126	24	191	1	24
P0ADW2	0.126	24	191	1	24
O89511	0.149	28	188	1	28
Q9PIK3	0.19	24	126	1	24
Q5SKN7	0.2	24	120	1	24
P56065	0.205	24	117	1	24
A0A0J9X235	0.296	24	81	1	24
P69548	1.0	24	24	1	24
Q58876	0.272	58	213	1	24
Q27YU3	0.245	50	204	1	50
A0A6A5PV33	0.161	25	155	1	25
A0A5H1ZR95	0.512	42	82	1	33
A0QSL4	0.892	33	37	1	33
Q2V2P8	0.742	66	89	1	25
A5U127	0.331	50	151	1	28
P22472	0.036	37	1019	1	25
Q8NHZ8	0.318	27	85	1	27
P12230	0.892	33	37	1	33
A5A616	0.871	27	31	1	27
A0A218NZW1	0.857	48	56	1	27
Q8DMP8	0.786	44	56	1	28
P0A8K7	0.652	43	66	1	27
P33937	0.034	28	828	1	28
B4YNG0	0.054	32	595	1	32
Q6UY68	0.085	28	329	1	28
P42532	1.0	31	31	1	31
P81450	1.0	59	59	1	59
P82920	0.989	86	87	1	86
P16687	0.263	93	354	1	28
Q91KZ5	0.197	58	294	1	28
P0AEF0	0.212	52	245	1	52
P28374	0.763	29	38	1	29
P61839	0.879	29	33	1	29
P61045	1.0	29	29	1	29
P61048	1.0	29	29	1	29
Q9NVC6	0.195	127	651	1	29
P29692	0.107	30	281	1	30
Q05389	0.151	30	199	1	30
D0CD18	0.868	33	38	1	33
Q08362	0.811	30	37	1	30
Q8U232	0.973	36	37	1	36
P0DM37	1.0	34	34	1	34
P61840	0.909	30	33	1	30
P37256	0.968	30	31	1	30
D0VWR3	1.0	30	30	1	30
A0A2R3IMB8	0.136	59	434	1	59
Q56217	0.824	98	119	1	78
Q0B309	0.013	31	2463	1	31
C4QY10	0.016	31	1879	1	31
P19097	0.026	49	1887	1	32
P24565	0.282	31	110	1	31
A2FFS8	0.348	31	89	1	31
P0C6T2	0.892	33	37	1	33
P56100	0.838	31	37	1	31
A0R4D1	0.969	31	32	1	31
P12313	0.969	31	32	1	31
A0A0J9X299	1.0	31	31	1	31
G6FWT6	1.0	31	31	1	31
P0A403	1.0	31	31	1	31
P72986	1.0	31	31	1	31
Q9M3L0	1.0	31	31	1	31
P19052	1.0	65	65	1	65
A0A140KF01	0.017	32	1887	1	32
P43098	0.017	32	1885	1	32
Q9R9T7	0.034	45	1315	1	45
I6U860	0.145	34	235	1	34
P9WH89	0.865	32	37	1	32
A0A4V8H010	0.889	32	36	1	32
P83796	1.0	35	35	1	35
Q8HS25	0.914	32	35	1	32
P0A3Y1	0.941	32	34	1	32
Q8DIQ0	1.0	32	32	1	32
P03428	0.046	35	759	1	35
A0A1L4BK98	0.071	43	606	1	36
P26745	0.066	33	499	1	33
Q74M37	0.13	33	253	1	33
A0A1B4XKT9	0.868	33	38	1	33
P69529	0.971	33	34	1	33
O96000	0.419	72	172	1	33
P69461	0.919	34	37	1	34
Q6YXR3	0.944	34	36	1	34
P49344	1.0	34	34	1	34
A0A0M3KL10	0.967	87	90	1	87
Q8WVK7	0.545	66	121	1	34
Q9WZ12	0.104	39	376	1	39
A0A218P2S9	0.946	35	37	1	35
P49343	0.946	35	37	1	35
P59763	0.946	35	37	1	35
P83797	1.0	37	37	1	37
P62103	0.972	35	36	1	35
Q99380	0.972	35	36	1	35
P12312	1.0	36	36	1	36
P80883	1.0	36	36	1	36
Q8DHA7	1.0	36	36	1	36
P0AC92	1.0	57	57	1	57
P53330	0.433	68	157	1	36
O28071	0.607	37	61	1	37
Q7WSG2	0.74	37	50	1	37
I6DQK7	0.755	37	49	1	37
P12241	1.0	37	37	1	37
P19054	1.0	37	37	1	37
P58246	1.0	37	37	1	37
Q8DIN8	1.0	37	37	1	37
P12240	1.0	38	38	1	38
Q9IK91	0.206	146	709	1	38
Q9BS18	0.824	61	74	1	39
Q2NKV2	0.797	59	74	1	39
P62552	1.0	72	72	1	72
A0A1B4XSI4	0.909	40	44	1	40
D0VX32	1.0	81	81	1	81
P03929	0.621	41	66	1	41
P0A7P5	1.0	46	46	1	46
U3KRF6	1.0	41	41	1	41
I6V287	0.707	70	99	1	41
A0A087L9L7	1.0	44	44	1	44
A0A1J6Y3G0	0.955	42	44	1	42
Q00916	0.237	71	300	1	71
P50503	0.12	44	368	1	44
P13920	1.0	45	45	1	45
D3YPI2	0.159	92	580	1	92
P50106	0.555	76	137	1	52
Q88D80	0.034	45	1317	1	45
Q35914	0.746	50	67	1	50
Q9JIH2	0.099	46	466	1	46
A0A2K3DL29	0.094	47	500	1	47
Q9UKX7	0.1	47	468	1	47
A6ZWK1	0.475	47	99	1	47
O78751	0.712	47	66	1	47
Q6N9L4	0.762	48	63	1	48
A0A0J9X292	1.0	48	48	1	48
P00856	1.0	48	48	1	48
D3YNB5	0.076	58	759	1	49
P69698	0.57	49	86	1	49
P69697	0.57	49	86	1	49
Q8NL33	0.633	50	79	1	50
P0DPC3	0.891	57	64	1	57
P12307	0.943	50	53	1	50
A1JK11	0.852	52	61	1	52
O69078	0.869	53	61	1	53
Q9IMP3	0.083	64	774	1	64
P12306	0.981	52	53	1	52
A0A0J9X216	1.0	53	53	1	53
P39758	0.587	54	92	1	54
P69913	0.902	55	61	1	55
D0VX27	0.967	59	61	1	59
A0A2D0TCJ2	1.0	54	54	1	54
A0A140GKJ0	0.625	55	88	1	55
Q02377	1.0	70	70	1	70
C8ZKC7	0.966	57	59	1	57
Q8U013	1.0	56	56	1	56
Q5SKW8	0.132	58	438	1	58
P47985	0.423	116	274	1	57
O78753	0.757	87	115	1	87
O35683	1.0	70	70	1	70
A0A0J9X226	1.0	60	60	1	60
E2QFS2	0.221	61	276	1	61
A0A075B5G1	1.0	62	62	1	62
I6U847	0.87	100	115	1	62
N1NXA6	0.636	63	99	1	63
E9KNV6	0.292	101	346	1	101
Q04002	0.073	109	1493	1	67
Q9BW61	0.686	70	102	1	70
Q7CPV2	0.907	68	75	1	68
O15239	1.0	70	70	1	70
P23727	0.106	77	724	1	77
Q6EDW3	1.0	84	84	1	84
P89448	0.161	94	585	1	94
A0A024FSR7	1.0	123	123	1	123
P13272	0.551	151	274	1	151
Q8NQE1	0.081	39	482	2	25
P68183	0.071	21	296	2	16
Q8DJD9	0.018	7	394	2	8
P62166	0.042	8	190	2	9
F8TW82	0.076	13	170	2	14
Q7A1N5	0.056	7	124	2	8
A0R102	0.151	13	86	2	14
A0A0H2ZIZ8	0.521	37	71	2	38
P84153	0.045	12	266	2	13
P14483	0.045	12	265	2	4
Q8EGZ2	0.49	50	102	2	51
G0WXL9	0.123	25	204	2	11
P04050	0.059	102	1733	2	21
A0A498U580	0.076	27	354	2	9
P17424	0.016	5	319	2	6
J9VMZ3	0.025	5	203	2	6
Q7NSS5	0.1	6	60	2	7
Q9KWT7	0.041	12	293	2	13
G1U7M4	0.982	55	56	2	56
Q6CI60	0.242	30	124	2	10
Q06168	0.063	27	426	2	15
P10824	0.11	39	354	2	15
P0AB91	0.023	8	350	2	9
Q81A57	0.029	8	272	2	9
Q9KYU1	0.129	21	163	2	22
C1I210	0.091	15	164	2	16
Q84V36	0.453	39	86	2	14
Q7Y3F3	0.681	49	72	2	17
P04578	0.363	311	856	2	5
P47079	0.037	21	568	2	22
P33750	0.01	5	489	2	6
P9WML5	0.017	6	353	2	7
P00342	0.015	5	332	2	6
P12482	0.019	5	263	2	6
Q63SB3	0.019	5	269	2	6
Q8IDG3	0.037	9	246	2	10
P25156	0.086	20	233	1	20
P22203	0.223	52	233	2	53
Q3T0Y5	0.047	11	234	2	12
Q02326	0.142	25	176	2	26
D0CA76	0.05	6	119	2	7
P21827	0.033	16	482	2	6
E1BF86	0.096	49	512	2	9
Q7Z494	0.005	6	1330	2	7
P00509	0.025	10	396	1	10
G0UWE7	0.019	7	372	2	8
Q65FG3	0.04	12	298	2	13
B4EKU2	0.03	7	232	2	8
Q2HR63	0.394	67	170	2	27
B9PHL8	0.042	6	143	2	7
A0A1B4XM76	0.05	6	119	2	7
O07517	0.08	9	113	2	10
Q3E792	0.389	42	108	2	7
A0A0H2UQ20	0.299	29	97	2	25
Q8ZK81	0.08	6	75	2	7
Q8DIP0	0.905	76	84	2	77
Q15004	0.261	29	111	2	7
W5PYA5	0.343	59	172	2	9
Q9DCJ5	0.326	56	172	2	7
G3XD39	0.091	35	386	2	12
Q9NP87	0.014	7	494	2	8
Q7PRG3	0.025	10	396	2	11
Q83F40	0.023	9	396	1	9
Q9K169	0.034	12	351	2	13
D2JDC3	0.059	19	324	2	14
A4HVX3	0.025	7	285	2	8
F2WAD7	0.055	13	235	2	14
Q9RWB4	0.06	10	166	2	11
P49450	0.564	79	140	2	8
P14945	0.072	8	111	2	9
A0A0N0BLP2	0.836	51	61	2	24
P0DOY6	0.984	60	61	2	61
P23008	0.051	109	2157	2	8
Q8N983	0.195	42	215	2	10
P09152	0.008	10	1247	2	11
Q08224	0.016	9	551	2	10
Q01101	0.016	8	510	2	9
Q24106	0.02	8	410	2	9
Q99986	0.02	8	396	2	9
P17505	0.024	8	334	2	9
P0ACB2	0.028	9	324	2	10
O81223	0.036	8	222	2	9
Q46944	0.079	17	214	2	18
P62330	0.046	8	175	2	9
A0A1X1LKT4	0.047	8	172	2	9
Q24570	0.058	8	138	2	9
Q97W59	0.137	19	139	2	20
Q5TEC6	0.059	8	136	2	9
Q84AQ1	0.067	8	119	2	9
P48781	0.623	43	69	2	22
P02309	0.816	84	103	2	50
Q2FXQ0	0.97	64	66	2	65
P21306	0.984	61	62	2	62
P0C0S8	0.377	49	130	2	11
B6VNP3	0.062	22	355	2	12
P9WLZ7	0.014	9	653	2	10
Q96NN9	0.015	9	605	2	10
P10619	0.073	35	480	2	10
O75818	0.028	10	363	2	11
O95863	0.057	15	264	2	10
P00414	0.034	9	261	2	10
Q9R1P0	0.038	10	261	2	11
D2Z0P9	0.093	24	259	2	25
P04527	0.118	22	187	2	23
P9WPJ6	0.074	12	163	2	13
P9WPJ7	0.074	12	163	2	13
P06821	0.093	9	97	2	10
D9J353	0.5	9	18	2	10
P53165	0.25	164	657	2	96
P21404	0.074	163	2201	2	10
O00571	0.027	18	662	2	10
Q5SJ23	0.024	14	575	2	15
O15530	0.018	10	556	2	11
P00879	0.021	10	476	2	11
Q91F57	0.028	11	394	2	12
Q00460	0.052	17	327	2	18
P10927	0.049	14	288	1	14
P06030	0.036	10	274	2	11
Q9HGR1	0.054	13	240	2	14
Q8I3R0	0.053	10	189	2	11
Q4DTQ1	0.07	10	143	2	11
P61165	0.177	14	79	2	15
Q98Y46	0.526	10	19	2	11
A2FBZ2	0.186	16	86	2	11
C4R4Y0	0.017	29	1743	2	13
O42652	0.029	12	409	2	13
P17785	0.032	11	339	2	12
P04083	0.032	11	346	2	12
D2Z0P3	0.039	11	281	2	12
O83005	0.083	23	277	2	12
P23638	0.058	15	258	2	16
P49722	0.047	11	234	2	12
Q9I2B5	0.064	12	187	2	13
Q3BDD9	0.088	11	125	2	12
P38792	0.061	22	359	2	17
P84243	0.897	122	136	2	90
P61830	0.669	91	136	2	24
Q28943	0.032	33	1025	2	34
P59226	0.199	27	136	2	12
O14802	0.038	53	1390	2	18
P00504	0.029	12	412	2	13
A0A0J9X1Z2	0.05	15	302	2	16
P0C0Y8	0.163	46	282	2	14
Q3J1A5	0.106	30	282	2	14
G0SEI1	0.055	12	219	2	13
P14123	0.08	15	187	2	16
F2Z602	0.103	15	145	2	16
Q6EDY0	0.095	12	126	2	13
P10026	0.913	116	127	2	54
G1BIY6	0.073	20	273	2	13
P25043	0.172	45	261	2	13
Q9S574	0.088	34	386	2	13
P26465	0.048	22	456	2	23
P23542	0.036	15	418	2	16
P07356	0.047	16	339	2	17
Q13155	0.097	31	320	2	32
P9WJN5	0.119	18	151	2	19
V9H1G0	0.481	13	27	2	14
P55874	0.939	62	66	2	63
Q71DI3	0.706	96	136	2	16
G6FMD2	0.667	32	48	2	14
P84228	0.191	26	136	2	14
A0A2V3D5Z8	0.326	47	144	2	20
P84244	0.257	35	136	2	14
A0A4Z7	0.046	14	307	2	15
P41805	0.063	14	221	2	15
G1SP51	0.145	22	152	2	19
Q7ZB17	0.182	18	99	2	19
P08898	0.176	24	136	2	15
Q6NXT2	0.23	31	135	2	15
P9WJ85	0.974	75	77	2	76
O97248	0.103	15	145	2	16
Q92316	0.174	15	86	2	16
Q98XH7	0.208	15	72	2	16
P09883	0.053	31	582	2	16
P02299	0.471	64	136	2	16
Q16543	0.098	37	378	2	20
Q9P013	0.498	114	229	2	71
Q06102	0.077	16	208	2	17
A0A125YSG6	0.106	16	151	2	17
A2D9L2	0.106	16	151	2	17
P0A8Q0	0.153	20	131	2	21
Q16695	0.36	49	136	2	17
P30263	0.136	69	507	2	46
P36594	0.039	68	1752	2	20
Q9UT61	0.017	18	1077	2	19
B7MKV9	0.13	17	131	2	18
P04716	0.171	19	111	1	19
A0A069QC44	0.828	53	64	2	54
P32499	0.061	44	720	2	18
P32410	0.982	56	57	2	57
P18754	0.05	21	421	2	22
A5ZMD8	0.269	28	104	2	29
E9BUA2	0.209	18	86	2	19
Q7ZU28	0.039	19	487	2	20
Q9QXF8	0.072	21	293	2	22
P00436	0.114	23	201	2	24
Q6CGB4	0.256	44	172	2	33
E9BPR7	0.126	19	151	2	20
Q4DC38	0.126	19	151	2	20
O74098	0.358	24	67	2	20
P18673	0.95	19	20	2	20
Q7Z3T8	0.013	20	1539	2	21
P11653	0.036	26	728	2	27
Q0QLF2	0.047	20	425	2	21
I6U7J4	0.142	49	345	2	33
O69274	0.064	21	329	2	22
Q9ULR0	0.07	20	285	2	21
D0CD16	0.288	42	146	2	23
P0A910	0.098	34	346	2	26
O95405	0.043	61	1425	2	21
Q09161	0.03	24	790	2	25
Q03375	0.304	41	135	2	28
P9WHJ5	0.495	55	111	2	24
Q9BW85	0.142	46	323	2	22
Q13356	0.108	56	520	2	22
Q13976	0.07	47	671	2	48
Q7YZT0	0.07	22	314	2	23
G0SEG2	0.072	22	304	2	23
P28320	0.205	57	278	2	28
H8Z0X5	0.085	22	258	2	23
P0AB64	0.277	23	83	2	24
A0A0Q7FMS9	0.648	46	71	2	23
P62656	0.803	49	61	2	23
A0QSG2	0.902	55	61	2	23
J7QA90	0.989	87	88	2	88
B7IA20	0.315	46	146	2	23
A0QTP4	0.958	23	24	2	24
Q5SIH3	0.926	25	27	2	26
A0QR10	0.97	32	33	2	33
Q9BPZ7	0.1	52	522	2	30
Q8CVI4	0.054	24	446	2	25
I6U851	0.173	24	139	2	25
P28632	0.197	27	137	2	28
P62613	0.889	24	27	2	25
P10174	0.983	59	60	2	60
O34687	0.915	54	59	2	55
A0A069QB25	0.883	53	60	2	54
D0VWW3	0.214	30	140	2	31
K7EMV3	0.272	25	92	2	26
Q2FZF1	0.793	46	58	2	47
B5FVF8	0.992	122	123	2	123
P04038	0.986	73	74	2	74
A1B602	0.308	32	104	2	26
P41065	0.521	38	73	2	29
Q16540	0.366	56	153	2	29
P18798	0.095	37	389	2	38
P0A7N4	0.982	56	57	2	57
E2QR96	0.122	47	386	2	28
Q9NXE8	0.066	28	425	2	29
Q93UT0	0.103	28	271	2	29
A0A140F3K7	0.248	36	145	2	37
D2Z0P2	0.984	60	61	2	61
P70062	0.074	41	554	2	29
P45575	0.115	44	381	2	29
P56621	0.305	29	95	2	30
B5FVE5	0.8	48	60	2	49
P72701	0.829	29	35	2	30
P74787	0.935	29	31	2	30
A0R3I9	0.965	55	57	2	56
Q8DKM3	0.829	34	41	2	35
P83795	1.0	32	32	1	32
Q8YVQ2	1.0	31	31	1	31
P53854	0.196	35	179	2	36
A0A072ZJG4	0.437	31	71	2	32
P01094	0.456	31	68	2	32
A0A0D6E2L8	0.969	31	32	2	32
Q8YNB0	0.969	31	32	2	32
Q8DJ43	0.985	65	66	2	66
Q99LY9	0.547	58	106	2	39
A8HNV0	0.083	32	387	2	33
Q3UIU2	0.773	99	128	2	38
P14835	0.906	58	64	2	33
Q3LSM1	0.126	61	483	2	35
P09234	0.283	45	159	2	46
W5PF18	0.471	33	70	2	34
P62112	0.971	33	34	2	34
P82543	0.971	33	34	2	34
P92533	0.395	47	119	2	34
A0QYU7	0.844	54	64	2	55
A0A067SLB9	0.971	34	35	2	35
Q54697	0.921	35	38	2	36
W5QFF9	0.566	60	106	2	38
P0A1S2	0.328	45	137	2	46
O43920	0.434	46	106	2	37
P60147	0.974	37	38	2	38
P60150	0.974	37	38	2	38
W5PZE3	0.773	99	128	2	38
Q03032	0.5	42	84	2	43
F0JB24	0.974	38	39	2	39
P25054	0.053	152	2843	2	42
P37299	0.883	68	77	2	60
O34498	0.778	56	72	2	40
O14949	0.78	64	82	2	41
P13271	0.988	81	82	2	82
Q8JU67	0.063	41	648	2	42
D8V7I7	0.697	62	89	2	63
Q03772	0.423	74	175	2	42
Q2FUQ0	0.978	44	45	2	45
D0CA77	0.719	46	64	2	47
P68431	0.787	107	136	2	87
V5V791	0.978	44	45	2	45
P08525	0.638	60	94	2	54
P0ACF8	0.343	47	137	2	48
B5RSK9	0.774	72	93	2	54
E9BLG3	0.894	59	66	2	47
P71021	0.311	51	164	2	52
P36675	0.653	47	72	2	48
P9WH91	0.734	47	64	2	48
W5Q3H8	0.922	47	51	2	48
P09546	0.036	48	1320	2	49
B7I7A4	0.787	48	61	2	49
P07255	0.881	52	59	2	53
P28804	0.842	48	57	2	49
A0A0E3K9N8	0.889	48	54	2	49
A5GFX4	0.941	48	51	2	49
B7I693	0.766	49	64	2	50
P22452	0.98	49	50	2	50
P68679	0.775	55	71	2	56
P08621	0.133	58	437	2	59
D0KRA5	0.944	51	54	2	52
B5FVD3	0.989	86	87	2	87
P08874	0.99	95	96	2	96
P22289	0.864	57	66	2	58
